"","x"
"1",0.522527651627674
"2",1
"3",0.934680860841219
"4",0.876326638886716
"5",0.823931342827239
"6",0.776669225142057
"7",0.733856716447215
"8",0.694923526118109
"9",0.659390450169084
"10",0.626852149865522
"11",0.596963657548682
"12",0.569429707672694
"13",0.54399623094938
"14",0.520443520195512
"15",0.498580699401963
"16",0.478241217058552
"17",0.459279150635801
"18",0.441566158066832
"19",0.424988948772579
"20",0.409447174531116
"21",0.394851661656612
"22",0.381122922214996
"23",0.368189894588084
"24",0.355988873503846
"25",0.344462597340893
"26",0.333559466583651
"27",0.323232872121221
"28",0.313440615927209
"29",0.304144409742305
"30",0.295309439868879
"31",0.286903988202534
"32",0.27889910126649
"33",0.271268300356427
"34",0.2639873270052
"35",0.25703391888522
"36",0.250387612018192
"37",0.24402956578651
"38",0.237942407761473
"39",0.232110095799184
"40",0.226517795220837
"41",0.221151769202077
"42",0.215999280756409
"43",0.211048504918038
"44",0.20628844991691
"45",0.201708886298316
"46",0.197300283075813
"47",0.193053750123017
"48",0.188960986110148
"49",0.185014231377545
"50",0.181206225212881
"51",0.177530167063239
"52",0.173979681269058
"53",0.170548784955464
"54",0.167231858758719
"55",0.164023620102354
"56",0.160919098769712
"57",0.157913614547817
"58",0.155002756742197
"59",0.152182365383979
"60",0.149448513969743
"61",0.14679749359141
"62",0.144225798328392
"63",0.141730111787356
"64",0.139307294686658
"65",0.136954373392838
"66",0.134668529325782
"67",0.132447089157357
"68",0.130287515735604
"69",0.128187399673138
"70",0.126144451544167
"71",0.124156494639822
"72",0.122221458236113
"73",0.120337371333045
"74",0.118502356827193
"75",0.116714626083402
"76",0.11497247387437
"77",0.113274273659565
"78",0.111618473177478
"79",0.110003590327394
"80",0.108428209318932
"81",0.106890977069433
"82",0.105390599830931
"83",0.103925840029966
"84",0.102495513304862
"85",0.10109848572635
"86",0.0997336711885404
"87",0.0984000289582909
"88",0.0970965613719619
"89",0.0958223116694047
"90",0.0945763619558185
"91",0.0933578312828304
"92",0.0921658738408095
"93",0.0909996772550277
"94",0.0898584609788343
"95",0.0887414747775126
"96",0.0876479972969568
"97",0.0865773347117303
"98",0.08552881944746
"99",0.0845018089728821
"100",0.083495684657187
"101",0.0825098506886175
"102",0.081543733050555
"103",0.0805967785515921
"104",0.079668453906325
"105",0.0787582448638282
"106",0.0778656553809721
"107",0.0769902068379404
"108",0.0761314372934735
"109",0.0752889007775349
"110",0.0744621666192398
"111",0.0736508188080321
"112",0.0728544553862217
"113",0.072072687871117
"114",0.0713051407050978
"115",0.0705514507320782
"116",0.0698112666989082
"117",0.0690842487803489
"118",0.0683700681263438
"119",0.0676684064303843
"120",0.0669789555178424
"121",0.0663014169532101
"122",0.0656355016652479
"123",0.0649809295891075
"124",0.064337429324544
"125",0.0637047378093883
"126",0.0630826000074979
"127",0.0624707686104486
"128",0.0618690037522719
"129",0.061277072736585
"130",0.0606947497754926
"131",0.0601218157396797
"132",0.0595580579191433
"133",0.0590032697940433
"134",0.0584572508151812
"135",0.0579198061936419
"136",0.0573907466991595
"137",0.0568698884667914
"138",0.0563570528115077
"139",0.0558520660503231
"140",0.0553547593316198
"141",0.0548649684713268
"142",0.054382533795639
"143",0.0539072999899769
"144",0.0534391159539019
"145",0.0529778346617173
"146",0.0525233130284998
"147",0.0520754117813173
"148",0.0516339953354033
"149",0.0511989316750678
"150",0.0507700922391374
"151",0.0503473518107264
"152",0.0499305884111499
"153",0.0495196831978013
"154",0.0491145203658231
"155",0.0487149870534096
"156",0.0483209732505863
"157",0.0479323717113213
"158",0.0475490778688262
"159",0.0471709897539156
"160",0.0467980079162973
"161",0.0464300353486723
"162",0.0460669774135295
"163",0.0457087417725245
"164",0.0453552383183395
"165",0.0450063791089208
"166",0.0446620783040023
"167",0.0443222521038206
"168",0.0439868186899363
"169",0.043655698168078
"170",0.043328812512929
"171",0.0430060855147819
"172",0.0426874427279864
"173",0.0423728114211239
"174",0.0420621205288391
"175",0.0417553006052682
"176",0.0414522837790012
"177",0.0411530037095197
"178",0.0408573955450565
"179",0.0405653958818221
"180",0.0402769427245474
"181",0.0399919754482943
"182",0.0397104347614862
"183",0.0394322626701154
"184",0.0391574024430821
"185",0.0388857985786258
"186",0.0386173967718079
"187",0.0383521438830093
"188",0.0380899879074045
"189",0.0378308779453799
"190",0.0375747641738599
"191",0.0373215978185112
"192",0.0370713311267929
"193",0.0368239173418233
"194",0.036579310677035
"195",0.0363374662915901
"196",0.0360983402665313
"197",0.0358618895816407
"198",0.0356280720929847
"199",0.0353968465111199
"200",0.0351681723799392
"201",0.0349420100561341
"202",0.0347183206892552
"203",0.034497066202349
"204",0.0342782092731526
"205",0.0340617133158276
"206",0.0338475424632155
"207",0.0336356615495977
"208",0.0334260360939425
"209",0.0332186322836249
"210",0.0330134169586027
"211",0.0328103575960344
"212",0.0326094222953249
"213",0.0324105797635855
"214",0.032213799301494
"215",0.0320190507895436
"216",0.0318263046746672
"217",0.0316355319572259
"218",0.0314467041783504
"219",0.031259793407623
"220",0.0310747722310922
"221",0.0308916137396062
"222",0.030710291517459
"223",0.0305307796313366
"224",0.0303530526195561
"225",0.0301770854815875
"226",0.0300028536678507
"227",0.0298303330697784
"228",0.0296595000101374
"229",0.0294903312336013
"230",0.0293228038975649
"231",0.0291568955631963
"232",0.0289925841867164
"233",0.0288298481109015
"234",0.0286686660568017
"235",0.0285090171156677
"236",0.0283508807410823
"237",0.0281942367412879
"238",0.0280390652717072
"239",0.0278853468276483
"240",0.0277330622371925
"241",0.0275821926542564
"242",0.0274327195518253
"243",0.0272846247153523
"244",0.0271378902363189
"245",0.0269924985059515
"246",0.0268484322090911
"247",0.0267056743182101
"248",0.0265642080875736
"249",0.0264240170475405
"250",0.0262850849990003
"251",0.0261473960079429
"252",0.0260109344001559
"253",0.0258756847560487
"254",0.0257416319055967
"255",0.0256087609234052
"256",0.0254770571238879
"257",0.0253465060565579
"258",0.0252170935014275
"259",0.0250888054645148
"260",0.0249616281734532
"261",0.0248355480732019
"262",0.0247105518218541
"263",0.0245866262865411
"264",0.024463758539429
"265",0.0243419358538058
"266",0.0242211457002573
"267",0.0241013757429277
"268",0.0239826138358654
"269",0.0238648480194487
"270",0.0237480665168921
"271",0.0236322577308293
"272",0.0235174102399718
"273",0.023403512795841
"274",0.0232905543195718
"275",0.0231785238987863
"276",0.0230674107845351
"277",0.022957204388305
"278",0.022847894279092
"279",0.0227394701805368
"280",0.0226319219681216
"281",0.0225252396664276
"282",0.0224194134464504
"283",0.0223144336229728
"284",0.0222102906519932
"285",0.0221069751282082
"286",0.0220044777825481
"287",0.0219027894797649
"288",0.0218019012160691
"289",0.0217018041168179
"290",0.0216024894342494
"291",0.0215039485452653
"292",0.0214061729492582
"293",0.0213091542659846
"294",0.0212128842334805
"295",0.0211173547060207
"296",0.021022557652119
"297",0.0209284851525688
"298",0.0208351293985245
"299",0.0207424826896202
"300",0.0206505374321274
"301",0.0205592861371492
"302",0.0204687214188504
"303",0.0203788359927232
"304",0.0202896226738877
"305",0.0202010743754252
"306",0.020113184106745
"307",0.0200259449719835
"308",0.0199393501684341
"309",0.0198533929850087
"310",0.0197680668007285
"311",0.0196833650832441
"312",0.0195992813873854
"313",0.0195158093537377
"314",0.0194329427072474
"315",0.0193506752558526
"316",0.0192690008891409
"317",0.019187913577033
"318",0.0191074073684908
"319",0.0190274763902502
"320",0.0189481148455782
"321",0.0188693170130534
"322",0.0187910772453688
"323",0.0187133899681581
"324",0.0186362496788432
"325",0.0185596509455036
"326",0.0184835884057664
"327",0.0184080567657178
"328",0.0183330507988334
"329",0.0182585653449295
"330",0.0181845953091329
"331",0.0181111356608701
"332",0.0180381814328743
"333",0.0179657277202113
"334",0.0178937696793227
"335",0.0178223025270864
"336",0.0177513215398944
"337",0.0176808220527468
"338",0.0176107994583623
"339",0.0175412492063049
"340",0.0174721668021258
"341",0.0174035478065208
"342",0.0173353878345027
"343",0.0172676825545885
"344",0.0172004276880004
"345",0.0171336190078815
"346",0.0170672523385256
"347",0.0170013235546189
"348",0.0169358285804972
"349",0.0168707633894142
"350",0.0168061240028235
"351",0.0167419064896729
"352",0.0166781069657105
"353",0.0166147215928036
"354",0.0165517465782681
"355",0.016489178174211
"356",0.0164270126768824
"357",0.0163652464260399
"358",0.0163038758043236
"359",0.0162428972366409
"360",0.0161823071895625
